Player,Out-Degree Centrality,Closeness Centrality,Betweenness Centrality,CON Score,Elo,PageRank Centrality
MagnusCarlsen,0.6044776119402985,0.9061889250814332,0.32007599831556033,0.7367798796216681,1.0,0.5883928988310269
lupta_robin,0.005597014925373134,0.7426588360918314,7.720638876724018e-05,0.021012467755803954,0.3819379115710254,0.002890952613022257
Macron20hTF1,0.0037313432835820895,0.6195991091314031,0.0,0.017841788478073946,0.2953904045155221,0.00488712448502706
Oleksandr_Bortnyk,0.8078358208955224,0.9858256555634303,0.3947611046506427,0.9356728288907996,0.8099717779868297,0.5729470628621522
mishanick,0.7388059701492538,0.9693379790940768,0.4637888997793298,0.9155202063628547,0.7412982126058325,0.535326605064302
Lady_Nika,0.0018656716417910447,0.7710643015521065,0.0,0.01101676698194325,0.27281279397930386,0.00402843365822841
Shield12,0.12220149253731344,0.8125000000000001,0.15078296606181002,0.2513435081685297,0.6603951081843838,0.08395200430048115
noblerone,0.0,0.7291655149013893,0.0,0.0,0.27281279397930386,0.0
dropstoneDP,0.5727611940298507,0.963963963963964,1.0,0.7568787618228718,0.7234242709313264,0.3950420501981542
chessllermo,0.0037313432835820895,0.7916903813318157,0.0004466921359831255,0.006072656921754085,0.2539981185324553,0.003924335960018047
MITerryble,0.3516791044776119,0.9157340355497039,0.2639894229625218,0.5967325881341359,0.715898400752587,0.2260849924006942
Itay121,0.0009328358208955224,0.7655476059438635,0.003575852928681189,0.0,0.26246472248353714,0.0016487336432508832
Silent-Killer100,0.0037313432835820895,0.7162718846549949,0.0,0.008867153912295787,0.3367826904985889,0.007592347195921681
wonderfultime,0.46361940298507465,0.9199735449735451,0.3312719989407068,0.641444539982803,0.7836312323612418,0.38686634593756997
Robert_Chessmood,0.012126865671641791,0.677545056015587,0.0009767762074402763,0.024720550300945828,0.7102539981185324,0.004781529465373489
Schattman,0.0,0.7451354861145072,0.0,0.0,0.257761053621825,0.0
Prizant_academy,0.10167910447761194,0.8260095011876486,0.12010993580531315,0.21651977644024076,0.8777046095954845,0.06357550975801886
DanylaBagrov,0.0009328358208955224,0.7028802425467409,0.0005728256316839282,0.00661006018916595,0.31326434619002824,0.0007185226617098514
Skatchkov_V,0.0018656716417910447,0.8008059873344848,2.5706788232503317e-05,0.0011285468615649184,0.5192850423330198,0.0004083747731176926
Polish_fighter3000,0.6166044776119403,0.926098535286285,0.41887491279616335,0.7928310404127257,0.7591721542803387,0.49020290255438426
Bykov_Egor,0.008395522388059701,0.8201650943396227,0.001034732449609266,0.012199054170249355,0.41110065851364064,0.0076685328620469465
DenLaz,0.5111940298507462,0.9193654990085922,0.547076226990205,0.6209157351676698,0.8033866415804327,0.41596994670149545
GlavkonVVS,0.011194029850746268,0.8101339545719279,0.0005548527886761859,0.020958727429062768,0.3988711194731891,0.013559146459832081
Firouzja2003,0.4664179104477612,0.9121311475409837,0.22017334200763286,0.7725171969045572,0.8824082784571966,0.41981728911120336
xasid81,0.005597014925373134,0.8082510168506682,0.005184497270207454,0.014456147893379193,0.3913452492944497,0.006274323234497402
Jospem,0.710820895522388,0.9659722222222223,0.5330517872142337,1.0,0.8015051740357478,0.5528490673298206
Zavgorodniy_Sergiy,0.0046641791044776115,0.7446466809421842,0.002573463735021309,0.025956577815993122,0.31890874882408277,0.0030147027430586794
Yeritsyaan,0.009328358208955223,0.7028802425467409,0.0001974806834120823,0.02310834049871023,0.3847601128880527,0.01137981651626342
Msb2,0.6930970149253731,0.9851274787535412,0.8894581582620499,0.8503331900257953,0.8109125117591721,0.4831630159108459
Baku_Boulevard,0.04291044776119403,0.6652319464371115,0.016905442201326178,0.15299871023215822,0.8334901222953904,0.024140502035546522
manitodeplomo,0.009328358208955223,0.8533742331288344,0.009366396903231012,0.008114789337919174,0.3527751646284102,0.013056974381279713
krstulov_alex,0.0018656716417910447,0.6972431077694236,0.00019446776721465507,0.00456792777300086,0.35183443085606775,0.00181563890091234
